#,Crop Name,Code,Focus Code,Numeric Code,Vertical ID,Crop Flag,Effective Date,Category,Crop Category,Crop Type,Scientific Name,Common Name,Family Name,Genus,Species,Season,Start Month,End Month,Duration Days to Maturity,Sowing Time,Harvest Time,Climate Requirement,Soil Type,Isolation Distance Meters,Expected Yield (qtl/acre),Regeneration Cut of Year,Number of Seed/Quantity,Average Seed Weightg,Unit,Pouch Standard,Description,Is Active,Update Status,Updated Date,Created At
50,Grapes,,CRP049,110,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Mango,,CRP050,111,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lichi,,CRP052,112,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Lemon,,CRP046,113,2,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Orange,,CRP044,114,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pamelo,,CRP041,115,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pineapple,,CRP047,116,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Drumstick,,CRP045,117,2,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dragon Fruit,,CRP054,118,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Lotus Cucumber,,CRP053,119,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jackfruit,JF,CRP057,120,2,2,05-08-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pear,PA,CRP056,121,2,2,05-08-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Aawla,,CRP058,122,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Almond,,CRP059,123,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Annona Glabra,,CRP060,124,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Bael,,CRP061,125,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ber,,CRP062,126,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Chikoo,,CRP074,127,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Citrus,,CRP063,128,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Curry Leaves,,CRP071,129,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Date Palm,,CRP064,130,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Fig,,CRP065,131,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Jamun,,CRP066,132,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Karonda,,CRP068,133,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Lakshman Phal,,CRP069,134,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
75,Mandarin,,CRP070,135,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
76,Mosambi,,CRP072,136,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
77,Phalsa Berries,,CRP073,137,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
78,Shahtoot,,CRP075,138,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
79,Star Fruit,,CRP067,139,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
80,Wax Apple,,CRP076,140,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
81,Avocado,,CRP081,141,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
82,Cherry,,CRP082,142,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
83,Miracle Fruit,,CRP084,143,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
84,Rambutan,,CRP083,144,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
85,Ramphal,,CRP079,145,2,2,14-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
86,Khirni,,CRP077,146,2,2,06-12-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
87,Pomegranate,,CRP078,147,2,2,06-12-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
88,Tamarind,,CRP080,148,2,2,06-12-2025,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
89,Wild Brinjal,,,149,3,2,05-02-2026,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
90,Wild Pumpkin,,,150,3,2,18-02-2026,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
91,Sun Hemp,,CRP038,151,1,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,
92,Figleaf Gourd,,CRP039,152,2,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,Inactive,,,
93,Fruit,,CRP043,153,4,2,01-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,Inactive,,,
